from,to,k_min,k_max
2p10,1s5,7.083333333333333e-18,9.583333333333332e-18
2p10,1s4,4.2500000000000005e-18,5.75e-18
2p10,1s3,1.4166666666666668e-18,1.916666666666667e-18
2p10,1s2,4.2500000000000005e-18,5.75e-18
2p9,1s5,1e-17,1.5e-17
2p9,1s4,6.0000000000000004e-18,9e-18
2p9,1s3,2e-18,3.0000000000000002e-18
2p9,1s2,6.0000000000000004e-18,9e-18
2p9,2p10,4.59e-18,5.61e-18
2p9,2p8,6.12e-18,7.48e-18
2p9,2p6,5.1000000000000006e-18,6.9e-18
2p8,1s5,1.3333333333333335e-17,2e-17
2p8,1s4,8e-18,1.2000000000000001e-17
2p8,1s3,2.666666666666667e-18,4e-18
2p8,1s2,8e-18,1.2000000000000001e-17
2p8,2p10,9e-19,1.1000000000000001e-18
2p8,2p9,1.4450000000000002e-17,2.0020000000000003e-17
2p8,2p7,7.200000000000001e-19,8.800000000000001e-19
2p8,2p6,2.7e-19,3.3000000000000003e-19
2p7,1s5,1.3333333333333335e-17,2e-17
2p7,1s4,8e-18,1.2000000000000001e-17
2p7,1s3,2.666666666666667e-18,4e-18
2p7,1s2,8e-18,1.2000000000000001e-17
2p7,2p9,2.0970000000000005e-17,2.5630000000000006e-17
2p7,2p8,1.2870000000000003e-17,1.84e-17
2p7,2p6,2.2500000000000004e-18,2.7500000000000004e-18
2p6,2p9,9e-19,2.3e-18
2p6,2p8,5.4000000000000005e-18,9.2e-18
2p6,2p7,3.69e-18,9.2e-18
2p5,2p8,8.55e-18,1.045e-17
2p5,2p6,1.0170000000000002e-17,1.2430000000000002e-17
2p5,2p4,1.53e-18,1.87e-18
2p4,1s5,1.3812500000000001e-17,1.8687500000000002e-17
2p4,1s4,8.287500000000002e-18,1.1212500000000003e-17
2p4,1s3,2.7625e-18,3.7375e-18
2p4,1s2,8.287500000000002e-18,1.1212500000000003e-17
2p4,2p9,2.9700000000000004e-18,3.630000000000001e-18
2p4,2p8,1.26e-18,1.5400000000000003e-18
2p4,2p7,2.8800000000000005e-18,3.5200000000000005e-18
2p4,2p6,4.32e-18,5.2800000000000004e-18
2p4,2p5,6.3e-19,7.700000000000001e-19
2p4,2p3,1.4450000000000002e-17,2.5300000000000003e-17
2p3,1s5,1.6645833333333335e-17,2.2520833333333335e-17
2p3,1s4,9.9875e-18,1.3512500000000001e-17
2p3,1s3,3.3291666666666672e-18,4.504166666666667e-18
2p3,1s2,9.9875e-18,1.3512500000000001e-17
2p3,2p9,7.200000000000001e-19,8.800000000000001e-19
2p3,2p8,1.71e-18,2.09e-18
2p3,2p7,1.26e-18,1.5400000000000003e-18
2p3,2p6,3.485e-17,4.84e-17
2p3,2p5,2.7e-19,3.3000000000000003e-19
2p3,2p4,1.87e-17,3.0250000000000005e-17
2p2,1s5,1.8770833333333332e-17,2.5395833333333332e-17
2p2,1s4,1.12625e-17,1.52375e-17
2p2,1s3,3.754166666666667e-18,5.0791666666666664e-18
2p2,1s2,1.12625e-17,1.52375e-17
2p2,2p3,4.5e-19,5.500000000000001e-19
2p1,1s5,1e-17,1.5e-17
2p1,1s4,6.0000000000000004e-18,9e-18
2p1,1s3,2e-18,3.0000000000000002e-18
2p1,1s2,6.0000000000000004e-18,9e-18
3d+2s,2p10,6.666666666666668e-18,1.0000000000000002e-17
3d+2s,2p9,1.5555555555555557e-17,2.3333333333333332e-17
3d+2s,2p8,1.1111111111111113e-17,1.6666666666666667e-17
3d+2s,2p7,6.666666666666668e-18,1.0000000000000002e-17
3d+2s,2p6,1.1111111111111113e-17,1.6666666666666667e-17
3d+2s,2p5,2.2222222222222226e-18,3.3333333333333337e-18
3d+2s,2p4,6.666666666666668e-18,1.0000000000000002e-17
3d+2s,2p3,1.1111111111111113e-17,1.6666666666666667e-17
3d+2s,2p2,6.666666666666668e-18,1.0000000000000002e-17
3d+2s,2p1,2.2222222222222226e-18,3.3333333333333337e-18
3p,2p10,6.666666666666668e-18,1.0000000000000002e-17
3p,2p9,1.5555555555555557e-17,2.3333333333333332e-17
3p,2p8,1.1111111111111113e-17,1.6666666666666667e-17
3p,2p7,6.666666666666668e-18,1.0000000000000002e-17
3p,2p6,1.1111111111111113e-17,1.6666666666666667e-17
3p,2p5,2.2222222222222226e-18,3.3333333333333337e-18
3p,2p4,6.666666666666668e-18,1.0000000000000002e-17
3p,2p3,1.1111111111111113e-17,1.6666666666666667e-17
3p,2p2,6.666666666666668e-18,1.0000000000000002e-17
3p,2p1,2.2222222222222226e-18,3.3333333333333337e-18
3p,3d+2s,8.000000000000002e-17,1.2e-16
