T_e,k_min,k_max
0.1,5.929068792078266e-15,5.929068792078266e-15
0.2,1.6038156476431254e-14,1.6038156476431254e-14
0.30000000000000004,2.012761222878368e-14,2.012761222878368e-14
0.4,2.1504490791257802e-14,2.1504490791257802e-14
0.5,2.1745239928551237e-14,2.1745239928551237e-14
0.6,2.146828692384396e-14,2.146828692384396e-14
0.7000000000000001,2.0947411833262172e-14,2.0947411833262172e-14
0.8,2.031743031158782e-14,2.031743031158782e-14
0.9,1.9648989930139885e-14,1.9648989930139885e-14
1.0,1.8980039872232428e-14,1.8980039872232428e-14
1.1,1.8330801246922554e-14,1.8330801246922554e-14
1.2000000000000002,1.7711533602594216e-14,1.7711533602594216e-14
1.3000000000000003,1.7126802065503378e-14,1.7126802065503378e-14
1.4000000000000001,1.6577910655392672e-14,1.6577910655392672e-14
1.5000000000000002,1.6064322978791245e-14,1.6064322978791245e-14
1.6,1.5584503124787346e-14,1.5584503124787346e-14
1.7000000000000002,1.5136416037857372e-14,1.5136416037857372e-14
1.8000000000000003,1.4717824303449603e-14,1.4717824303449603e-14
1.9000000000000001,1.4326461754374428e-14,1.4326461754374428e-14
2.0,1.3960132039610298e-14,1.3960132039610298e-14
2.1,1.3616761406354671e-14,1.3616761406354671e-14
2.2,1.3294423662819944e-14,1.3294423662819944e-14
2.3000000000000003,1.2991348440979491e-14,1.2991348440979491e-14
2.4000000000000004,1.2705919668177718e-14,1.2705919668177718e-14
2.5000000000000004,1.2436668541606738e-14,1.2436668541606738e-14
2.6,1.2182263663045894e-14,1.2182263663045894e-14
2.7,1.1941499961552974e-14,1.1941499961552974e-14
2.8000000000000003,1.1713287382212598e-14,1.1713287382212598e-14
2.9000000000000004,1.149663990939577e-14,1.149663990939577e-14
3.0000000000000004,1.129066523567269e-14,1.129066523567269e-14
3.1,1.1094555227319232e-14,1.1094555227319232e-14
3.2,1.090757723917512e-14,1.090757723917512e-14
3.3000000000000003,1.0729066273015813e-14,1.0729066273015813e-14
3.4000000000000004,1.055841794017847e-14,1.055841794017847e-14
3.5000000000000004,1.039508217165028e-14,1.039508217165028e-14
3.6,1.023855761119207e-14,1.023855761119207e-14
3.7,1.008838662546766e-14,1.008838662546766e-14
3.8000000000000003,9.944150867096623e-15,9.944150867096623e-15
3.9000000000000004,9.805467330458778e-15,9.805467330458778e-15
4.0,9.671984844951977e-15,9.671984844951977e-15
4.1,9.54338095561944e-15,9.54338095561944e-15
4.2,9.41935914624432e-15,9.41935914624432e-15
4.3,9.299646364942454e-15,9.299646364942454e-15
4.3999999999999995,9.183990816855463e-15,9.183990816855463e-15
4.5,9.072159992705814e-15,9.072159992705814e-15
4.6,8.963938905712656e-15,8.963938905712656e-15
4.7,8.859128512695161e-15,8.859128512695161e-15
4.8,8.757544298134704e-15,8.757544298134704e-15
4.9,8.659015002560346e-15,8.659015002560346e-15
5.0,8.563381478898487e-15,8.563381478898487e-15
5.1,8.470495662421377e-15,8.470495662421377e-15
5.2,8.380219641672673e-15,8.380219641672673e-15
5.3,8.292424819271781e-15,8.292424819271781e-15
5.4,8.206991152829181e-15,8.206991152829181e-15
5.5,8.1238064673671e-15,8.1238064673671e-15
5.6,8.042765831654712e-15,8.042765831654712e-15
5.7,7.963770991754522e-15,7.963770991754522e-15
5.8,7.88672985585218e-15,7.88672985585218e-15
5.9,7.811556025121324e-15,7.811556025121324e-15
6.0,7.738168365969888e-15,7.738168365969888e-15
6.1,7.666490619536394e-15,7.666490619536394e-15
6.2,7.596451044762816e-15,7.596451044762816e-15
6.3,7.527982091773624e-15,7.527982091773624e-15
6.4,7.461020102645175e-15,7.461020102645175e-15
6.5,7.395505036962206e-15,7.395505036962206e-15
6.6,7.3313802198341e-15,7.3313802198341e-15
