T_e,k_min,k_max
0.1,1.3805223027214494e-22,1.3805223027214494e-22
0.2,1.2674891920625095e-18,1.2674891920625095e-18
0.30000000000000004,2.4543388118872607e-17,2.4543388118872607e-17
0.4,1.0282811467734016e-16,1.0282811467734016e-16
0.5,2.3481076836837387e-16,2.3481076836837387e-16
0.6,3.9728300576141305e-16,3.9728300576141305e-16
0.7000000000000001,5.677116016479025e-16,5.677116016479025e-16
0.8,7.312191306868e-16,7.312191306868e-16
0.9,8.798850761616437e-16,8.798850761616437e-16
1.0,1.01045813046469e-15,1.01045813046469e-15
1.1,1.1224218148756277e-15,1.1224218148756277e-15
1.2000000000000002,1.2167061000674816e-15,1.2167061000674816e-15
1.3000000000000003,1.2949115349454143e-15,1.2949115349454143e-15
1.4000000000000001,1.3588699646641611e-15,1.3588699646641611e-15
1.5000000000000002,1.4104095172677892e-15,1.4104095172677892e-15
1.6,1.4512382870555956e-15,1.4512382870555956e-15
1.7000000000000002,1.4828947906785165e-15,1.4828947906785165e-15
1.8000000000000003,1.5067347069824969e-15,1.5067347069824969e-15
1.9000000000000001,1.523936371017105e-15,1.523936371017105e-15
2.0,1.5355151282776899e-15,1.5355151282776899e-15
2.1,1.542341088932136e-15,1.542341088932136e-15
2.2,1.5451573690934842e-15,1.5451573690934842e-15
2.3000000000000003,1.5445973537629215e-15,1.5445973537629215e-15
2.4000000000000004,1.5412003263813465e-15,1.5412003263813465e-15
2.5000000000000004,1.535425252861652e-15,1.535425252861652e-15
2.6,1.527662740483902e-15,1.527662740483902e-15
2.7,1.5182453052519139e-15,1.5182453052519139e-15
2.8000000000000003,1.507456128040504e-15,1.507456128040504e-15
2.9000000000000004,1.4955364905961985e-15,1.4955364905961985e-15
3.0000000000000004,1.4826920746700442e-15,1.4826920746700442e-15
3.1,1.4690982911568482e-15,1.4690982911568482e-15
3.2,1.4549047865775348e-15,1.4549047865775348e-15
3.3000000000000003,1.4402392545032196e-15,1.4402392545032196e-15
3.4000000000000004,1.4252106610484115e-15,1.4252106610484115e-15
3.5000000000000004,1.4099119769963026e-15,1.4099119769963026e-15
3.6,1.3944224946459965e-15,1.3944224946459965e-15
3.7,1.3788097950354877e-15,1.3788097950354877e-15
3.8000000000000003,1.3631314206259377e-15,1.3631314206259377e-15
3.9000000000000004,1.3474362996177463e-15,1.3474362996177463e-15
4.0,1.3317659605849412e-15,1.3317659605849412e-15
4.1,1.3161555698513738e-15,1.3161555698513738e-15
4.2,1.3006348188007158e-15,1.3006348188007158e-15
4.3,1.2852286839463907e-15,1.2852286839463907e-15
4.3999999999999995,1.2699580789452087e-15,1.2699580789452087e-15
4.5,1.2548404146988344e-15,1.2548404146988344e-15
4.6,1.239890081148983e-15,1.239890081148983e-15
4.7,1.22511886225075e-15,1.22511886225075e-15
4.8,1.2105362938332627e-15,1.2105362938332627e-15
4.9,1.196149972569434e-15,1.196149972569434e-15
5.0,1.1819658230285533e-15,1.1819658230285533e-15
5.1,1.167988328736656e-15,1.167988328736656e-15
5.2,1.1542207322868635e-15,1.1542207322868635e-15
5.3,1.140665208797684e-15,1.140665208797684e-15
5.4,1.1273230163888419e-15,1.1273230163888419e-15
5.5,1.1141946268126381e-15,1.1141946268126381e-15
5.6,1.1012798389284881e-15,1.1012798389284881e-15
5.7,1.0885778773260893e-15,1.0885778773260893e-15
5.8,1.0760874780777672e-15,1.0760874780777672e-15
5.9,1.0638069633239398e-15,1.0638069633239398e-15
6.0,1.0517343061597204e-15,1.0517343061597204e-15
6.1,1.0398671870891961e-15,1.0398671870891961e-15
6.2,1.0282030431415292e-15,1.0282030431415292e-15
6.3,1.0167391105953496e-15,1.0167391105953496e-15
6.4,1.0054724621311824e-15,1.0054724621311824e-15
6.5,9.944000391227558e-16,9.944000391227558e-16
6.6,9.835186796843376e-16,9.835186796843376e-16
6.7,9.72825143010493e-16,9.72825143010493e-16
6.8,9.623161304749893e-16,9.623161304749893e-16
6.9,9.51988303895366e-16,9.51988303895366e-16
7.0,9.41838301317607e-16,9.41838301317607e-16
7.1,9.318627506302472e-16,9.318627506302472e-16
7.2,9.220582812781108e-16,9.220582812781108e-16
7.3,9.124215343119086e-16,9.124215343119086e-16
7.4,9.029491709804036e-16,9.029491709804036e-16
7.5,8.93637880046135e-16,8.93637880046135e-16
7.6,8.844843839833299e-16,8.844843839833299e-16
7.7,8.754854441970803e-16,8.754854441970803e-16
7.8,8.666378653858471e-16,8.666378653858471e-16
7.9,8.579384991544436e-16,8.579384991544436e-16
8.0,8.493842469716371e-16,8.493842469716371e-16
8.1,8.409720625550958e-16,8.409720625550958e-16
8.2,8.32698953756437e-16,8.32698953756437e-16
8.3,8.245619840103511e-16,8.245619840103511e-16
8.4,8.165582734041105e-16,8.165582734041105e-16
8.5,8.086849994170077e-16,8.086849994170077e-16
8.6,8.009393973733434e-16,8.009393973733434e-16
8.7,7.933187606473597e-16,7.933187606473597e-16
8.8,7.85820440653932e-16,7.85820440653932e-16
8.9,7.784418466547802e-16,7.784418466547802e-16
9.0,7.71180445406402e-16,7.71180445406402e-16
9.1,7.640337606727932e-16,7.640337606727932e-16
9.2,7.569993726232448e-16,7.569993726232448e-16
9.3,7.500749171330634e-16,7.500749171330634e-16
9.4,7.432580850029116e-16,7.432580850029116e-16
9.5,7.365466211105448e-16,7.365466211105448e-16
9.6,7.299383235070536e-16,7.299383235070536e-16
9.700000000000001,7.234310424682217e-16,7.234310424682217e-16
9.8,7.170226795103069e-16,7.170226795103069e-16
9.9,7.107111863783686e-16,7.107111863783686e-16
10.0,7.044945640142711e-16,7.044945640142711e-16
10.1,6.983708615105489e-16,6.983708615105489e-16
10.200000000000001,6.9233817505554405e-16,6.9233817505554405e-16
10.3,6.863946468744958e-16,6.863946468744958e-16
10.4,6.805384641706502e-16,6.805384641706502e-16
10.5,6.747678580698921e-16,6.747678580698921e-16
10.6,6.690811025719136e-16,6.690811025719136e-16
10.700000000000001,6.634765135105045e-16,6.634765135105045e-16
10.8,6.57952447525163e-16,6.57952447525163e-16
10.9,6.525073010458861e-16,6.525073010458861e-16
11.0,6.471395092927072e-16,6.471395092927072e-16
11.1,6.418475452912809e-16,6.418475452912809e-16
11.200000000000001,6.36629918905586e-16,6.36629918905586e-16
11.3,6.314851758886139e-16,6.314851758886139e-16
11.4,6.264118969517298e-16,6.264118969517298e-16
11.5,6.21408696853242e-16,6.21408696853242e-16
11.6,6.164742235065708e-16,6.164742235065708e-16
11.700000000000001,6.116071571082932e-16,6.116071571082932e-16
11.8,6.068062092862351e-16,6.068062092862351e-16
11.9,6.020701222676862e-16,6.020701222676862e-16
12.0,5.973976680677407e-16,5.973976680677407e-16
12.1,5.927876476976963e-16,5.927876476976963e-16
12.200000000000001,5.882388903933799e-16,5.882388903933799e-16
12.3,5.837502528632262e-16,5.837502528632262e-16
12.4,5.793206185558863e-16,5.793206185558863e-16
12.5,5.749488969471092e-16,5.749488969471092e-16
12.6,5.706340228456075e-16,5.706340228456075e-16
12.700000000000001,5.663749557175943e-16,5.663749557175943e-16
12.8,5.621706790296548e-16,5.621706790296548e-16
12.9,5.580201996096024e-16,5.580201996096024e-16
13.0,5.539225470249506e-16,5.539225470249506e-16
13.1,5.498767729786298e-16,5.498767729786298e-16
13.200000000000001,5.458819507215569e-16,5.458819507215569e-16
13.3,5.419371744816763e-16,5.419371744816763e-16
13.4,5.380415589090756e-16,5.380415589090756e-16
13.5,5.341942385367798e-16,5.341942385367798e-16
13.6,5.303943672568357e-16,5.303943672568357e-16
13.700000000000001,5.266411178112861e-16,5.266411178112861e-16
13.8,5.229336812976504e-16,5.229336812976504e-16
13.9,5.192712666885195e-16,5.192712666885195e-16
14.0,5.156531003648866e-16,5.156531003648866e-16
14.1,5.120784256628334e-16,5.120784256628334e-16
14.200000000000001,5.085465024332036e-16,5.085465024332036e-16
14.3,5.050566066138958e-16,5.050566066138958e-16
14.4,5.016080298144199e-16,5.016080298144199e-16
14.5,4.982000789123631e-16,4.982000789123631e-16
14.6,4.948320756614252e-16,4.948320756614252e-16
14.700000000000001,4.915033563106818e-16,4.915033563106818e-16
14.8,4.882132712347531e-16,4.882132712347531e-16
14.9,4.84961184574551e-16,4.84961184574551e-16
15.0,4.817464738882959e-16,4.817464738882959e-16
15.1,4.785685298124969e-16,4.785685298124969e-16
15.200000000000001,4.75426755732598e-16,4.75426755732598e-16
15.3,4.723205674630008e-16,4.723205674630008e-16
15.4,4.692493929361827e-16,4.692493929361827e-16
