T_e,k_min,k_max
0.1,2.3064514284295407e-24,2.3064514284295407e-24
0.2,8.383242053956425e-19,8.383242053956425e-19
0.30000000000000004,5.860155537136985e-17,5.860155537136985e-17
0.4,4.832673451652135e-16,4.832673451652135e-16
0.5,1.6988608480369407e-15,1.6988608480369407e-15
0.6,3.9065622893869514e-15,3.9065622893869514e-15
0.7000000000000001,7.057931270564139e-15,7.057931270564139e-15
0.8,1.0976703838946064e-14,1.0976703838946064e-14
0.9,1.5456869054675454e-14,1.5456869054675454e-14
1.0,2.0310818960739656e-14,2.0310818960739656e-14
1.1,2.5385387710278132e-14,2.5385387710278132e-14
1.2000000000000002,3.0562707505721355e-14,3.0562707505721355e-14
1.3000000000000003,3.57553959371874e-14,3.57553959371874e-14
1.4000000000000001,4.090046284404538e-14,4.090046284404538e-14
1.5000000000000002,4.5953668215386124e-14,4.5953668215386124e-14
1.6,5.088485592385145e-14,5.088485592385145e-14
1.7000000000000002,5.5674295905440045e-14,5.5674295905440045e-14
1.8000000000000003,6.030989696251347e-14,6.030989696251347e-14
1.9000000000000001,6.478511615087609e-14,6.478511615087609e-14
2.0,6.909740465443592e-14,6.909740465443592e-14
2.1,7.324705849537488e-14,7.324705849537488e-14
2.2,7.723637137464791e-14,7.723637137464791e-14
2.3000000000000003,8.10690116962516e-14,8.10690116962516e-14
2.4000000000000004,8.474956549143518e-14,8.474956549143518e-14
2.5000000000000004,8.828320200075564e-14,8.828320200075564e-14
2.6,9.167542994910784e-14,9.167542994910784e-14
2.7,9.49319209124689e-14,9.49319209124689e-14
2.8000000000000003,9.805838234409571e-14,9.805838234409571e-14
2.9000000000000004,1.0106046736826135e-13,1.0106046736826135e-13
3.0000000000000004,1.0394371179082535e-13,1.0394371179082535e-13
3.1,1.0671349123751262e-13,1.0671349123751262e-13
3.2,1.0937499314779543e-13,1.0937499314779543e-13
3.3000000000000003,1.1193319969670728e-13,1.1193319969670728e-13
3.4000000000000004,1.1439287871428266e-13,1.1439287871428266e-13
3.5000000000000004,1.16758580414187e-13,1.16758580414187e-13
3.6,1.1903463829638568e-13,1.1903463829638568e-13
3.7,1.2122517300235713e-13,1.2122517300235713e-13
3.8000000000000003,1.2333409821132574e-13,1.2333409821132574e-13
3.9000000000000004,1.2536512789872293e-13,1.2536512789872293e-13
4.0,1.2732178445310983e-13,1.2732178445310983e-13
4.1,1.2920740727958324e-13,1.2920740727958324e-13
4.2,1.3102516161699038e-13,1.3102516161699038e-13
4.3,1.327780473711152e-13,1.327780473711152e-13
4.3999999999999995,1.3446890782237018e-13,1.3446890782237018e-13
4.5,1.3610043810893279e-13,1.3610043810893279e-13
4.6,1.376751934180876e-13,1.376751934180876e-13
4.7,1.3919559684233847e-13,1.3919559684233847e-13
