T_e,k_min,k_max
0.1,1.751692769504089e-17,1.751692769504089e-17
0.2,3.546396527983732e-15,3.546396527983732e-15
0.30000000000000004,2.1559116070447043e-14,2.1559116070447043e-14
0.4,5.4002457700510254e-14,5.4002457700510254e-14
0.5,9.470269880211414e-14,9.470269880211414e-14
0.6,1.3886414696606537e-13,1.3886414696606537e-13
0.7000000000000001,1.837409953614235e-13,1.837409953614235e-13
0.8,2.2791509330662165e-13,2.2791509330662165e-13
0.9,2.707044747371489e-13,2.707044747371489e-13
1.0,3.1181731720875203e-13,3.1181731720875203e-13
1.1,3.511649029899807e-13,3.511649029899807e-13
1.2000000000000002,3.8876230222911984e-13,3.8876230222911984e-13
1.3000000000000003,4.2467560350321526e-13,4.2467560350321526e-13
1.4000000000000001,4.589937770276029e-13,4.589937770276029e-13
1.5000000000000002,4.918136968317137e-13,4.918136968317137e-13
1.6,5.232322780869373e-13,5.232322780869373e-13
1.7000000000000002,5.533425005333654e-13,5.533425005333654e-13
1.8000000000000003,5.822315647349805e-13,5.822315647349805e-13
1.9000000000000001,6.099802147864581e-13,6.099802147864581e-13
2.0,6.366626883672145e-13,6.366626883672145e-13
2.1,6.623469911075557e-13,6.623469911075557e-13
2.2,6.870953246739411e-13,6.870953246739411e-13
2.3000000000000003,7.109645732115783e-13,7.109645732115783e-13
2.4000000000000004,7.34006795890187e-13,7.34006795890187e-13
2.5000000000000004,7.562696981013929e-13,7.562696981013929e-13
2.6,7.777970681007106e-13,7.777970681007106e-13
2.7,7.986291739859026e-13,7.986291739859026e-13
2.8000000000000003,8.188031204051738e-13,8.188031204051738e-13
2.9000000000000004,8.383531667823529e-13,8.383531667823529e-13
3.0000000000000004,8.573110100100803e-13,8.573110100100803e-13
3.1,8.757060350173416e-13,8.757060350173416e-13
3.2,8.935655366746458e-13,8.935655366746458e-13
3.3000000000000003,9.109149163433364e-13,9.109149163433364e-13
3.4000000000000004,9.277778561138715e-13,9.277778561138715e-13
3.5000000000000004,9.441764734749497e-13,9.441764734749497e-13
3.6,9.601314588470891e-13,9.601314588470891e-13
3.7,9.756621981201757e-13,9.756621981201757e-13
3.8000000000000003,9.907868820641968e-13,9.907868820641968e-13
3.9000000000000004,1.0055226042396977e-12,1.0055226042396977e-12
4.0,1.0198854488199158e-12,1.0198854488199158e-12
4.1,1.0338905695487861e-12,1.0338905695487861e-12
4.2,1.0475522608958496e-12,1.0475522608958496e-12
4.3,1.060884022327968e-12,1.060884022327968e-12
4.3999999999999995,1.0738986164960648e-12,1.0738986164960648e-12
4.5,1.0866081220303825e-12,1.0866081220303825e-12
4.6,1.0990239815476487e-12,1.0990239815476487e-12
4.7,1.1111570453961114e-12,1.1111570453961114e-12
4.8,1.1230176115977752e-12,1.1230176115977752e-12
4.9,1.1346154623898071e-12,1.1346154623898071e-12
5.0,1.1459598977176623e-12,1.1459598977176623e-12
5.1,1.1570597659897974e-12,1.1570597659897974e-12
5.2,1.1679234923669548e-12,1.1679234923669548e-12
5.3,1.178559104827051e-12,1.178559104827051e-12
5.4,1.1889742582189758e-12,1.1889742582189758e-12
5.5,1.1991762564944955e-12,1.1991762564944955e-12
5.6,1.209172073286434e-12,1.209172073286434e-12
5.7,1.2189683709829788e-12,1.2189683709829788e-12
5.8,1.2285715184318692e-12,1.2285715184318692e-12
5.9,1.2379876073941694e-12,1.2379876073941694e-12
6.0,1.2472224678549205e-12,1.2472224678549205e-12
6.1,1.2562816822870732e-12,1.2562816822870732e-12
6.2,1.2651705989554713e-12,1.2651705989554713e-12
6.3,1.2738943443391229e-12,1.2738943443391229e-12
6.4,1.282457834742456e-12,1.282457834742456e-12
6.5,1.2908657871595432e-12,1.2908657871595432e-12
6.6,1.2991227294492862e-12,1.2991227294492862e-12
6.7,1.3072330098742517e-12,1.3072330098742517e-12
6.8,1.3152008060510614e-12,1.3152008060510614e-12
6.9,1.323030133355987e-12,1.323030133355987e-12
7.0,1.3307248528255809e-12,1.3307248528255809e-12
7.1,1.33828867858872e-12,1.33828867858872e-12
7.2,1.345725184863366e-12,1.345725184863366e-12
7.3,1.3530378125485438e-12,1.3530378125485438e-12
7.4,1.360229875439524e-12,1.360229875439524e-12
7.5,1.3673045660919234e-12,1.3673045660919234e-12
7.6,1.3742649613583654e-12,1.3742649613583654e-12
7.7,1.381114027619479e-12,1.381114027619479e-12
7.8,1.3878546257293003e-12,1.3878546257293003e-12
7.9,1.3944895156936256e-12,1.3944895156936256e-12
8.0,1.401021361098405e-12,1.401021361098405e-12
8.1,1.4074527333040344e-12,1.4074527333040344e-12
8.2,1.4137861154201927e-12,1.4137861154201927e-12
8.3,1.4200239060748092e-12,1.4200239060748092e-12
8.4,1.4261684229897698e-12,1.4261684229897698e-12
8.5,1.432221906375062e-12,1.432221906375062e-12
8.6,1.4381865221522306e-12,1.4381865221522306e-12
8.7,1.4440643650172656e-12,1.4440643650172656e-12
8.8,1.4498574613523368e-12,1.4498574613523368e-12
8.9,1.4555677719951519e-12,1.4555677719951519e-12
9.0,1.4611971948741216e-12,1.4611971948741216e-12
9.1,1.4667475675169667e-12,1.4667475675169667e-12
9.2,1.4722206694399003e-12,1.4722206694399003e-12
9.3,1.4776182244240485e-12,1.4776182244240485e-12
9.4,1.4829419026853526e-12,1.4829419026853526e-12
9.5,1.4881933229437757e-12,1.4881933229437757e-12
9.6,1.4933740543972891e-12,1.4933740543972891e-12
9.700000000000001,1.4984856186057589e-12,1.4984856186057589e-12
9.8,1.5035294912895346e-12,1.5035294912895346e-12
