T_e,k_min,k_max
0.1,5.260139850856975e-15,5.260139850856975e-15
0.2,1.0863772428445964e-14,1.0863772428445964e-14
0.30000000000000004,1.3500298015217014e-14,1.3500298015217014e-14
0.4,1.4636671504942596e-14,1.4636671504942596e-14
0.5,1.5067800172225726e-14,1.5067800172225726e-14
0.6,1.5160284679857858e-14,1.5160284679857858e-14
0.7000000000000001,1.5087509190971366e-14,1.5087509190971366e-14
0.8,1.4935424580081802e-14,1.4935424580081802e-14
0.9,1.4748441396080308e-14,1.4748441396080308e-14
1.0,1.4550187120023587e-14,1.4550187120023587e-14
1.1,1.435341210439228e-14,1.435341210439228e-14
1.2000000000000002,1.4164962255057467e-14,1.4164962255057467e-14
1.3000000000000003,1.3988387820363268e-14,1.3988387820363268e-14
1.4000000000000001,1.3825364024740519e-14,1.3825364024740519e-14
1.5000000000000002,1.3676488953085807e-14,1.3676488953085807e-14
1.6,1.3541742993244094e-14,1.3541742993244094e-14
1.7000000000000002,1.3420758545039603e-14,1.3420758545039603e-14
1.8000000000000003,1.3312980516988453e-14,1.3312980516988453e-14
1.9000000000000001,1.3217762549908661e-14,1.3217762549908661e-14
2.0,1.3134424718564729e-14,1.3134424718564729e-14
2.1,1.3062287809132696e-14,1.3062287809132696e-14
2.2,1.3000693200983782e-14,1.3000693200983782e-14
2.3000000000000003,1.2949013843881997e-14,1.2949013843881997e-14
2.4000000000000004,1.2906659718078345e-14,1.2906659718078345e-14
2.5000000000000004,1.2873079891448774e-14,1.2873079891448774e-14
2.6,1.2847762504971213e-14,1.2847762504971213e-14
2.7,1.2830233529955858e-14,1.2830233529955858e-14
2.8000000000000003,1.2820054832810224e-14,1.2820054832810224e-14
2.9000000000000004,1.2816821887221929e-14,1.2816821887221929e-14
3.0000000000000004,1.2820161347899125e-14,1.2820161347899125e-14
3.1,1.2829728618820975e-14,1.2829728618820975e-14
3.2,1.2845205496346424e-14,1.2845205496346424e-14
3.3000000000000003,1.2866297933424092e-14,1.2866297933424092e-14
3.4000000000000004,1.2892733949100068e-14,1.2892733949100068e-14
3.5000000000000004,1.2924261693382777e-14,1.2924261693382777e-14
3.6,1.2960647668593572e-14,1.2960647668593572e-14
3.7,1.3001675102836074e-14,1.3001675102836074e-14
3.8000000000000003,1.304714246798735e-14,1.304714246798735e-14
3.9000000000000004,1.3096862132871824e-14,1.3096862132871824e-14
4.0,1.3150659141505644e-14,1.3150659141505644e-14
4.1,1.3208370106148587e-14,1.3208370106148587e-14
4.2,1.3269842205139235e-14,1.3269842205139235e-14
4.3,1.3334932275961604e-14,1.3334932275961604e-14
4.3999999999999995,1.3403505994594389e-14,1.3403505994594389e-14
4.5,1.3475437132858481e-14,1.3475437132858481e-14
4.6,1.3550606886159966e-14,1.3550606886159966e-14
4.7,1.3628903264696095e-14,1.3628903264696095e-14
4.8,1.3710220541833135e-14,1.3710220541833135e-14
4.9,1.379445875396762e-14,1.379445875396762e-14
5.0,1.388152324674132e-14,1.388152324674132e-14
5.1,1.3971324262993352e-14,1.3971324262993352e-14
5.2,1.4063776568300652e-14,1.4063776568300652e-14
5.3,1.4158799110382339e-14,1.4158799110382339e-14
5.4,1.4256314709026732e-14,1.4256314709026732e-14
5.5,1.435624977354454e-14,1.435624977354454e-14
5.6,1.4458534045061667e-14,1.4458534045061667e-14
5.7,1.4563100361242712e-14,1.4563100361242712e-14
5.8,1.466988444128493e-14,1.466988444128493e-14
5.9,1.477882468924466e-14,1.477882468924466e-14
6.0,1.488986201395724e-14,1.488986201395724e-14
6.1,1.5002939663988648e-14,1.5002939663988648e-14
6.2,1.511800307621614e-14,1.511800307621614e-14
6.3,1.523499973677647e-14,1.523499973677647e-14
6.4,1.5353879053247263e-14,1.5353879053247263e-14
6.5,1.5474592237039922e-14,1.5474592237039922e-14
6.6,1.559709219508374e-14,1.559709219508374e-14
6.7,1.572133342997137e-14,1.572133342997137e-14
6.8,1.5847271947816683e-14,1.5847271947816683e-14
6.9,1.59748651731485e-14,1.59748651731485e-14
7.0,1.6104071870228668e-14,1.6104071870228668e-14
7.1,1.6234852070241236e-14,1.6234852070241236e-14
7.2,1.6367167003851502e-14,1.6367167003851502e-14
7.3,1.650097903868089e-14,1.650097903868089e-14
7.4,1.6636251621285596e-14,1.6636251621285596e-14
7.5,1.677294922326489e-14,1.677294922326489e-14
7.6,1.691103729115909e-14,1.691103729115909e-14
7.7,1.7050482199828078e-14,1.7050482199828078e-14
7.8,1.7191251209028746e-14,1.7191251209028746e-14
7.9,1.733331242293505e-14,1.733331242293505e-14
8.0,1.747663475236674e-14,1.747663475236674e-14
8.1,1.7621187879513357e-14,1.7621187879513357e-14
8.2,1.776694222495865e-14,1.776694222495865e-14
8.3,1.7913868916827205e-14,1.7913868916827205e-14
8.4,1.8061939761890308e-14,1.8061939761890308e-14
8.5,1.8211127218481974e-14,1.8211127218481974e-14
8.6,1.8361404371088304e-14,1.8361404371088304e-14
8.7,1.8512744906484988e-14,1.8512744906484988e-14
8.8,1.866512309130798e-14,1.866512309130798e-14
8.9,1.8818513750951776e-14,1.8818513750951776e-14
9.0,1.8972892249698417e-14,1.8972892249698417e-14
9.1,1.912823447198801e-14,1.912823447198801e-14
9.2,1.9284516804748856e-14,1.9284516804748856e-14
9.3,1.9441716120711635e-14,1.9441716120711635e-14
9.4,1.9599809762638234e-14,1.9599809762638234e-14
9.5,1.9758775528401166e-14,1.9758775528401166e-14
9.6,1.9918591656854373e-14,1.9918591656854373e-14
9.700000000000001,2.0079236814441134e-14,2.0079236814441134e-14
9.8,2.0240690082488613e-14,2.0240690082488613e-14
9.9,2.040293094514264e-14,2.040293094514264e-14
10.0,2.056593927789979e-14,2.056593927789979e-14
10.1,2.0729695336697066e-14,2.0729695336697066e-14
10.200000000000001,2.0894179747522396e-14,2.0894179747522396e-14
10.3,2.1059373496512017e-14,2.1059373496512017e-14
