T_e,k_min,k_max
0.1,1.2519758386121748e-67,1.0727298465470383e-66
0.2,9.286965065893588e-42,4.236664552992358e-41
0.30000000000000004,4.334962523437327e-33,1.4686128987034015e-32
0.4,1.0053378665490054e-28,2.7963560167347063e-28
0.5,4.392116412860941e-26,1.0541637112251568e-25
0.6,2.613126156099441e-24,5.594982041603042e-24
0.7000000000000001,4.945926164408046e-23,9.68663446536809e-23
0.8,4.55646137809129e-22,8.323773930408436e-22
0.9,2.5899063335408166e-21,4.481387043085518e-21
1.0,1.0477957404014153e-20,1.7382063391745262e-20
1.1,3.3058499215577116e-20,5.30839286939176e-20
1.2000000000000002,8.647318689687636e-20,1.3542913329135127e-19
1.3000000000000003,1.95685316273237e-19,3.007165003444571e-19
1.4000000000000001,3.9498295674195213e-19,5.984532799457855e-19
1.5000000000000002,7.272971334237642e-19,1.090638077295759e-18
1.6,1.2425582179015258e-18,1.8498387380034905e-18
1.7000000000000002,1.9954539759836598e-18,2.9564791176787988e-18
1.8000000000000003,3.042961814388759e-18,4.495761206412034e-18
1.9000000000000001,4.441959188985057e-18,6.55458080312922e-18
2.0,6.247119013650371e-18,9.21869485690873e-18
2.1,8.509203153773902e-18,1.2570298516451445e-17
2.2,1.1273792065610506e-17,1.6686086012984047e-17
2.3000000000000003,1.458043638923422e-17,2.1635807136758253e-17
2.4000000000000004,1.8462184731669385e-17,2.7481289522767835e-17
2.5000000000000004,2.2945426457577835e-17,3.42758727171198e-17
2.6,2.804998418626024e-17,4.206418876161123e-17
2.7,3.378939369745783e-17,5.0882221800334045e-17
2.8000000000000003,4.017131588663044e-17,6.075758268366456e-17
2.9000000000000004,4.719803405722813e-17,7.17099412339779e-17
3.0000000000000004,5.486699876001068e-17,8.375156698839853e-17
3.1,6.31713907474069e-17,9.688793768627796e-17
3.2,7.210067997595646e-17,1.1111838281161023e-16
3.3000000000000003,8.164116480212999e-17,1.2643673674260534e-16
3.4000000000000004,9.177648057922796e-17,1.4283198232873535e-16
3.5000000000000004,1.0248807086842945e-16,1.6028887097558558e-16
3.6,1.1375561756021575e-16,1.7878850961890291e-16
3.7,1.25557428510446e-16,1.983089084051547e-16
3.8000000000000003,1.3787078297058353e-16,2.1882548557985677e-16
3.9000000000000004,1.5067223626243857e-16,2.4031152813346327e-16
4.0,1.6393788592528034e-16,2.627386082783673e-16
4.1,1.7764360204009471e-16,2.860769569293476e-16
4.2,1.917652246878567e-16,3.102957961205036e-16
4.3,2.062787315865016e-16,3.353636327880488e-16
4.3999999999999995,2.211603789223811e-16,3.612485166415087e-16
4.5,2.3638681828313463e-16,3.879182649858352e-16
4.6,2.519351924380508e-16,4.1534065738390175e-16
4.7,2.6778321252006e-16,4.4348360299462457e-16
4.8,2.8390921895581894e-16,4.723152833114483e-16
4.9,3.0029222827800237e-16,5.018042728784182e-16
5.0,3.1691196774457094e-16,5.319196403910849e-16
5.1,3.3374889948868906e-16,5.626310324080526e-16
5.2,3.5078423573338345e-16,5.939087417140529e-16
5.3,3.6799994642894124e-16,6.257237621928149e-16
5.4,3.853787605093164e-16,6.580478318916396e-16
5.5,4.029041618166705e-16,6.908534657921559e-16
5.6,4.205603806103267e-16,7.241139796448339e-16
5.7,4.383323814572362e-16,7.57803506079343e-16
5.8,4.562058481947295e-16,7.918970040690666e-16
5.9,4.741671665619128e-16,8.263702627059603e-16
6.0,4.922034050125794e-16,8.611999001310677e-16
6.1,5.103022941489566e-16,8.963633583659042e-16
6.2,5.28452205151024e-16,9.318388946998875e-16
6.3,5.466421275196017e-16,9.676055702083164e-16
6.4,5.648616464020674e-16,1.0036432359033965e-15
6.5,5.831009197265897e-16,1.0399325169566315e-15
6.6,6.013506553334886e-16,1.0764547953739748e-15
6.7,6.19602088260016e-16,1.113192191454621e-15
6.8,6.378469583069667e-16,1.150127544319705e-15
6.9,6.560774879914939e-16,1.1886009877489872e-15
7.0,6.742863609698474e-16,1.2282931787245313e-15
7.1,6.924667009960872e-16,1.268241886503295e-15
7.2,7.106120514676971e-16,1.3084302862077825e-15
7.3,7.287163555961829e-16,1.3488420869210612e-15
7.4,7.467739372298421e-16,1.3894615194650003e-15
7.5,7.647794823466728e-16,1.4302733236885533e-15
7.6,7.827280212276736e-16,1.471262735388806e-15
7.7,8.006149113143068e-16,1.512415472973037e-15
7.8,8.184358207485361e-16,1.5537177239569846e-15
7.9,8.361867125894289e-16,1.5951561313827982e-15
8.0,8.53863829696687e-16,1.6367177802295225e-15
8.1,8.714636802685681e-16,1.6783901838794976e-15
8.2,8.889830240193307e-16,1.720161270695456e-15
8.3,9.06418858979517e-16,1.7620193707554316e-15
8.4,9.237684089010165e-16,1.803953202785684e-15
8.5,9.410291112478352e-16,1.8459518613256405e-15
8.6,9.58198605752787e-16,1.88800480415333e-15
8.7,9.752747235198781e-16,1.930101839994794e-15
8.8,9.92255476651943e-16,1.9722331165365673e-15
8.9,1.0091390483830251e-15,2.014389108756334e-15
9.0,1.0259237836951221e-15,2.0565606075833798e-15
9.1,1.0426081803991361e-15,2.098738708897336e-15
9.2,1.0591908806601866e-15,2.1409148028709475e-15
9.3,1.0756706629478825e-15,2.1830805636601784e-15
9.4,1.0920464343925954e-15,2.2252279394428327e-15
9.5,1.1083172235293165e-15,2.267349142804979e-15
9.6,1.1244821734112218e-15,2.309436641472873e-15
9.700000000000001,1.1405405350756775e-15,2.351483149386638e-15
9.8,1.1564916613459983e-15,2.393481618110766e-15
9.9,1.1723350009529003e-15,2.4354252285754705e-15
10.0,1.1880700929601991e-15,2.477307383142045e-15
10.1,1.2036965614799256e-15,2.5191216979846677e-15
10.200000000000001,1.2192141106626366e-15,2.560861995780474e-15
10.3,1.234622519949312e-15,2.602522298699274e-15
10.4,1.2499216395718117e-15,2.644096821683876e-15
10.5,1.2651113862894426e-15,2.6856791621457447e-15
10.6,1.2801917393497675e-15,2.7281115916601023e-15
10.700000000000001,1.2951627366623073e-15,2.770500012442178e-15
10.8,1.310024471174342e-15,2.812840018740301e-15
10.9,1.3247770874385163e-15,2.855127358958578e-15
11.0,1.3394207783624431e-15,2.897357930882066e-15
11.1,1.3539557821309906e-15,2.9395277770569843e-15
11.200000000000001,1.3683823792923726e-15,2.981633080320723e-15
11.3,1.3827008899996212e-15,3.02367015947656e-15
11.4,1.3969116713994143e-15,3.0656354651081803e-15
