T_e,k_min,k_max
0.1,1.1031506603278549e-73,4.688844476100054e-73
0.2,3.6424110579414784e-45,1.869028851997836e-44
0.30000000000000004,1.3310171033325324e-35,5.964412950023878e-35
0.4,8.72464198428471e-31,3.278480331155007e-30
0.5,7.220719582495096e-28,2.2638808713091352e-27
0.6,6.723796907165284e-26,1.761748203334077e-25
0.7000000000000001,1.794009342627719e-24,3.949334820819249e-24
0.8,2.1823544385350152e-23,4.308951879564163e-23
0.9,1.5643757582585203e-22,2.84209722710031e-22
1.0,7.70642354498135e-22,1.292522092237327e-21
1.1,2.8524346345215997e-21,4.481093967373248e-21
1.2000000000000002,7.999478457693963e-21,1.2665588470626414e-20
1.3000000000000003,1.9270871982905406e-20,3.057685590844733e-20
1.4000000000000001,4.121387130842549e-20,6.518906999608931e-20
1.5000000000000002,8.015970049714076e-20,1.2578367473890563e-19
1.6,1.4436381966132995e-19,2.2374456582619307e-19
1.7000000000000002,2.360873473871936e-19,3.721363600099834e-19
1.8000000000000003,3.6331214547182683e-19,5.851450440383691e-19
1.9000000000000001,5.344642817958967e-19,8.774628454670543e-19
2.0,7.566525276723209e-19,1.2636862344443658e-18
2.1,1.0364974234729748e-18,1.7577764748980692e-18
2.2,1.3799456664693527e-18,2.4192535530280874e-18
2.3000000000000003,1.7921397554796814e-18,3.2473734925051423e-18
2.4000000000000004,2.2773386094682687e-18,4.251442897925296e-18
2.5000000000000004,2.8388822857757123e-18,5.444667399006873e-18
2.6,3.479192869102022e-18,6.8379061520554846e-18
2.7,4.1998035761452715e-18,8.439571112174871e-18
2.8000000000000003,5.001408716318565e-18,1.0255620134457509e-17
2.9000000000000004,5.883928068711508e-18,1.2289625510417872e-17
3.0000000000000004,6.8465802770082126e-18,1.454290006030728e-17
3.1,7.887960899442174e-18,1.7014664480666815e-17
3.2,9.006121706266306e-18,1.97022417821468e-17
3.3000000000000003,1.0198648656047382e-17,2.2601266987247788e-17
3.4000000000000004,1.1462736691894336e-17,2.5705902556052565e-17
3.5000000000000004,1.2795260081712153e-17,2.9009052128936125e-17
3.6,1.4192837493106178e-17,3.2502567045015066e-17
3.7,1.5651891357867633e-17,3.617744168617525e-17
3.8000000000000003,1.7168701358425982e-17,4.002399501089045e-17
3.9000000000000004,1.873945207418988e-17,4.4844783839782645e-17
4.0,2.0360274972946582e-17,5.0111357541313396e-17
4.1,2.2027285033394084e-17,5.57043541996182e-17
4.2,2.3736612349600798e-17,6.161868047736887e-17
4.3,2.5484429105173844e-17,6.78478556591032e-17
4.3999999999999995,2.7266972321066132e-17,7.438414210927215e-17
4.5,2.9080562781803055e-17,8.12186774762018e-17
4.6,3.0921620534849657e-17,8.834160636308817e-17
4.7,3.278667734029296e-17,9.574220957172717e-17
4.8,3.4672386425617546e-17,1.0340902938218356e-16
4.9,3.657552987510788e-17,1.1132998965702106e-16
5.0,3.84930239568069e-17,1.1949250984949686e-16
5.1,4.0421922663090186e-17,1.2788361225064862e-16
5.2,4.235941971455144e-17,1.3649002203118053e-16
5.3,4.4302849251576e-17,1.452982598222156e-16
5.4,4.624968541405094e-17,1.5429472673663404e-16
5.5,4.819754098733368e-17,1.6346578186257122e-16
5.6,5.014416527198281e-17,1.727978123655833e-16
5.7,5.208744131587423e-17,1.822772964188776e-16
5.8,5.402538263016017e-17,1.9189085924468614e-16
5.9,5.595612949501866e-17,2.0162532259698228e-16
6.0,5.787794494719872e-17,2.1146774804876946e-16
6.1,5.978921052889627e-17,2.2140547446836443e-16
6.2,6.168842186638565e-17,2.314261500804561e-16
6.3,6.3574184136973e-17,2.4151775951104364e-16
6.4,6.54452074741224e-17,2.516686462121996e-16
6.5,6.730030235292215e-17,2.618675306543248e-16
6.6,6.91383749913126e-17,2.721035246613287e-16
6.7,7.095842279658704e-17,2.823661422489622e-16
6.8,7.275952988151977e-17,2.926453073091942e-16
6.9,7.45408626699861e-17,3.0293135846473944e-16
7.0,7.630166560804495e-17,3.1321505139819644e-16
7.1,7.804125699308831e-17,3.234875589402016e-16
7.2,7.975902493076042e-17,3.3374046918091797e-16
7.3,8.145442342685954e-17,3.439657818493638e-16
7.4,8.312696861930766e-17,3.541559031857685e-16
7.5,8.477623515346099e-17,3.643036395134875e-16
7.6,8.640185270250153e-17,3.7440218969916664e-16
7.7,8.800350263335941e-17,3.8444513667287466e-16
7.8,8.958091481753562e-17,3.944264381639051e-16
7.9,9.113386458530218e-17,4.043404167929079e-16
8.0,9.266216982101864e-17,4.141817496469384e-16
8.1,9.416568819670949e-17,4.239454574509431e-16
8.2,9.564431454056836e-17,4.336268934370683e-16
8.3,9.709797833668007e-17,4.4322173200199114e-16
8.4,9.852664135196588e-17,4.527259572321805e-16
8.5,9.993029538614535e-17,4.621358513675465e-16
8.6,1.0130896014036228e-16,4.714479832653157e-16
8.7,1.0266268120002814e-16,4.806591969180943e-16
8.8,1.0399152812739237e-16,4.897666000729429e-16
8.9,1.0529559265933957e-16,4.987675529917937e-16
9.0,1.0657498700593802e-16,5.076596573876958e-16
9.1,1.0782984224531607e-16,5.16440745566091e-16
9.2,1.0906030681051423e-16,5.251088697955675e-16
9.3,1.1026654506405264e-16,5.336622919283065e-16
9.4,1.114487359560573e-16,5.420994732866092e-16
9.5,1.1260707176190365e-16,5.504190648285218e-16
9.6,1.1374175689546007e-16,5.5861989760255755e-16
9.700000000000001,1.1485300679414453e-16,5.66700973498849e-16
9.8,1.1594104687213962e-16,5.746614563017169e-16
9.9,1.1700611153824984e-16,5.825006630465709e-16
10.0,1.1804844327502125e-16,5.902180556822497e-16
10.1,1.190682917758822e-16,5.978132330383373e-16
10.200000000000001,1.2006591313719983e-16,6.052859230956171e-16
10.3,1.2104156910228352e-16,6.126359755566643e-16
10.4,1.2199552635449762e-16,6.198633547125601e-16
10.5,1.2292805585677736e-16,6.269681326008632e-16
10.6,1.2383943223496732e-16,6.339504824492624e-16
10.700000000000001,1.2472993320252545e-16,6.408106723987306e-16
10.8,1.2559983902425584e-16,6.475490594995262e-16
10.9,1.264494320168467e-16,6.541660839729875e-16
11.0,1.272789960841034e-16,6.606622637317715e-16
11.1,1.280888162848725e-16,6.670381891509534e-16
11.200000000000001,1.288791784317552e-16,6.732945180822425e-16
11.3,1.296503687188085e-16,6.794319711034679e-16
11.4,1.3040267337652524e-16,6.854513269954331e-16
11.5,1.3113637835247665e-16,6.913534184382257e-16
11.6,1.3185176901608516e-16,6.971391279191047e-16
11.700000000000001,1.3254912988607943e-16,7.028093838441452e-16
11.8,1.3322874437926128e-16,7.083651568459106e-16
11.9,1.3389089457928937e-16,7.138074562795404e-16
12.0,1.3453586102425468e-16,7.191373268997714e-16
12.1,1.3516392251189333e-16,7.243558457115658e-16
12.200000000000001,1.3577535592134283e-16,7.294641189871835e-16
12.3,1.3637043605041132e-16,7.344632794427087e-16
12.4,1.3694943546738869e-16,7.393544835672348e-16
12.5,1.3751262437647888e-16,7.441389090980922e-16
