T_e,k_min,k_max
0.1,1.0761055135884399e-76,1.4812210103490132e-75
0.2,5.86422970626006e-46,2.971513643810558e-45
0.30000000000000004,1.0373413400516008e-35,4.1913099482417296e-35
0.4,1.3901950732779386e-30,5.176474038148535e-30
0.5,1.6698038253828943e-27,5.984334803489923e-27
0.6,1.8994549080768402e-25,6.657679121585234e-25
0.7000000000000001,5.6183248992131e-24,1.9387253321230362e-23
0.8,7.15864073605708e-23,2.4391710832651853e-22
0.9,5.2006760765280625e-22,1.7522615930061965e-21
1.0,2.5488352723736704e-21,8.498590128529863e-21
1.1,9.379185653077667e-21,3.096340505380766e-20
1.2000000000000002,2.783117457361883e-20,9.100196987501743e-20
1.3000000000000003,6.997036892202675e-20,2.266743540665552e-19
1.4000000000000001,1.544049060566058e-19,4.957254904114217e-19
1.5000000000000002,3.0692802965281163e-19,9.768476246649783e-19
1.6,5.603977088376428e-19,1.7685285411807165e-18
1.7000000000000002,9.539225267485708e-19,2.9858441245547244e-18
1.8000000000000003,1.5315329573379429e-18,4.755857648081448e-18
1.9000000000000001,2.3405557754706736e-18,7.212354562100935e-18
2.0,3.4298958851379735e-18,1.0520336423082778e-17
2.1,4.848388135547278e-18,1.4894447626865335e-17
2.2,6.643330918864293e-18,2.0430747718070063e-17
2.3000000000000003,8.85926559211148e-18,2.726366539455674e-17
2.4000000000000004,1.1537026936594701e-17,3.551451541317409e-17
2.5000000000000004,1.4713061627095928e-17,4.5289300732516794e-17
2.6,1.8418993298136447e-17,5.667736019098006e-17
2.7,2.268140246451781e-17,6.975075283000943e-17
2.8000000000000003,2.7521785222596996e-17,8.456425364842245e-17
2.9000000000000004,3.295665444437602e-17,1.0115583402780969e-16
3.0000000000000004,3.89977495431007e-17,1.1954750792571194e-16
3.1,4.565232468085353e-17,1.3974643807747037e-16
3.2,5.292348969115644e-17,1.617462119386223e-16
3.3000000000000003,6.081058246522423e-17,1.8552821297054982e-16
3.4000000000000004,6.930955577083259e-17,2.1106302790453834e-16
3.5000000000000004,7.841336525902314e-17,2.383118441380447e-16
3.6,8.811234868895957e-17,2.672278031197746e-16
3.7,9.839458915341277e-17,2.9775728540803537e-16
3.8000000000000003,1.0924625734400088e-16,3.2984111112834453e-16
3.9000000000000004,1.2065192970491804e-16,3.634156459809337e-16
4.0,1.3259488074400244e-16,3.9841380796235957e-16
4.1,1.4505734885969216e-16,4.347659737814145e-16
4.2,1.5802077585779945e-16,4.724007867720394e-16
4.3,1.7146602092388284e-16,5.112458701204588e-16
4.3999999999999995,1.8537355022973818e-16,5.512284505929983e-16
4.5,1.9972360362405598e-16,5.92275898813908e-16
4.6,2.144963400193085e-16,6.343161926153079e-16
4.7,2.296719631655087e-16,6.772783101596078e-16
4.8,2.4523082951774886e-16,7.210925594957271e-16
4.9,2.611535398753335e-16,7.656908510159676e-16
5.0,2.7742101640920435e-16,8.110069189789295e-16
5.1,2.940145666116908e-16,8.5697649789323475e-16
5.2,3.1091593560642403e-16,9.035374591457768e-16
5.3,3.2810734815265436e-16,9.506299128285235e-16
5.4,3.455715415717618e-16,9.981962792854725e-16
5.5,3.632917907177769e-16,1.0461813344777182e-15
5.6,3.8125192601062813e-16,1.0945322328577033e-15
5.7,3.994363454522075e-16,1.1431985110588334e-15
5.8,4.178300214522801e-16,1.1921320753469749e-15
5.9,4.3641850320435026e-16,1.2412871754475415e-15
6.0,4.551879152711684e-16,1.290620367056449e-15
6.1,4.741249529656418e-16,1.3400904650648506e-15
6.2,4.932168750454251e-16,1.3896584892753915e-15
6.3,5.124514941781443e-16,1.4392876041604055e-15
6.4,5.318171655787827e-16,1.4889430540086386e-15
6.5,5.513027741708232e-16,1.5385920946248517e-15
6.6,5.708977205779615e-16,1.5882039225845994e-15
6.7,5.905919062131443e-16,1.6377496029026284e-15
6.8,6.103757176959741e-16,1.6872019958462479e-15
6.9,6.302400107977842e-16,1.7365356835129733e-15
7.0,6.501760940855123e-16,1.7857268966932955e-15
7.1,6.701757124106328e-16,1.834753442453196e-15
7.2,6.902310303674108e-16,1.883594632795669e-15
7.3,7.103346158254184e-16,1.93223121469489e-15
7.4,7.304794236242824e-16,1.9806453017397195e-15
7.5,7.506587795037446e-16,2.0288203075738615e-15
7.6,7.70866364329141e-16,2.0767408812775103e-15
7.7,7.910961986610683e-16,2.124392844798696e-15
7.8,8.113426277081799e-16,2.1717631325112573e-15
7.9,8.31600306693522e-16,2.218839732949699e-15
8.0,8.518641866574526e-16,2.2656116327485033e-15
8.1,8.721295007138558e-16,2.312068762794426e-15
8.2,8.923917507709265e-16,2.3582019465842555e-15
8.3,9.126466947231565e-16,2.4040028507672385e-15
8.4,9.328903341172175e-16,2.449463937840369e-15
8.5,9.531189022911116e-16,2.494578420955831e-15
8.6,9.73328852983152e-16,2.5393402207926505e-15
8.7,9.93516849405024e-16,2.5837439244389453e-15
8.8,1.0136797537712547e-15,2.6277847462268174e-15
8.9,1.0338146172758555e-15,2.671458490458574e-15
9.0,1.0539186705056425e-15,2.7147615159607522e-15
9.1,1.0739893142787571e-15,2.757690702400814e-15
9.2,1.0940241108961373e-15,2.800243418300607e-15
9.3,1.1140207757931402e-15,2.8424174906804085e-15
9.4,1.1339771695781159e-15,2.88421117626763e-15
9.5,1.1538912904444804e-15,2.9256231342048103e-15
9.6,1.173761266942717e-15,2.9666524001925875e-15
9.700000000000001,1.1935853510987042e-15,3.0072983620044574e-15
9.8,1.2133619118648466e-15,3.0475607363116525e-15
9.9,1.2330894288906081e-15,3.0874395467579935e-15
10.0,1.2527664865992507e-15,3.1269351032264005e-15
10.1,1.2723917685578402e-15,3.1660479822404764e-15
10.200000000000001,1.2919640521278439e-15,3.2047790084465654e-15
10.3,1.3114822033839912e-15,3.243129237123584e-15
10.4,1.330945172289396e-15,3.281099937669908e-15
10.5,1.350351988115295e-15,3.3186925780185615e-15
10.6,1.3697017550941589e-15,3.355908809933953e-15
10.700000000000001,1.3889936482952839e-15,3.3927504551452937e-15
10.8,1.408226909712385e-15,3.42921949227384e-15
10.9,1.4274008445530937e-15,3.4653180445128776e-15
11.0,1.4465148177206531e-15,3.5010483680213e-15
11.1,1.4655682504784865e-15,3.5364128409933716e-15
11.200000000000001,1.484560617288712e-15,3.571413953369007e-15
11.3,1.5034914428160307e-15,3.606054297150608e-15
11.4,1.522360299088797e-15,3.640336557294095e-15
11.5,1.5411668028094354e-15,3.674263503143365e-15
11.6,1.5599106128067153e-15,3.707837980378893e-15
11.700000000000001,1.5785914276227298e-15,3.741062903452666e-15
11.8,1.5972089832277618e-15,3.773941248483019e-15
11.9,1.615763050856534e-15,3.806476046584273e-15
12.0,1.6342534349596325e-15,3.83867037760736e-15
12.1,1.652679971264214e-15,3.8705273642688465e-15
12.200000000000001,1.6710425249383633e-15,3.9020501666468934e-15
12.3,1.6893409888537506e-15,3.933241977023862e-15
12.4,1.7075752819415195e-15,3.964106015056293e-15
12.5,1.7257453476365285e-15,3.994645523254004e-15
12.6,1.7438511524053875e-15,4.024863762751013e-15
12.700000000000001,1.7618926843538926e-15,4.054764009351939e-15
12.8,1.7798699519097083e-15,4.0843495498383256e-15
12.9,1.7977829825763713e-15,4.1136236785202785e-15
13.0,1.8156318217548486e-15,4.1425896940194555e-15
13.1,1.8334165316291184e-15,4.171250896270321e-15
13.200000000000001,1.85113719011238e-15,4.199610583727188e-15
13.3,1.868793889850705e-15,4.227672050765298e-15
13.4,1.8863867372811034e-15,4.25543858526482e-15
13.5,1.9039158517410917e-15,4.2829134663672184e-15
13.6,1.9213813646270773e-15,4.310099962394074e-15
13.700000000000001,1.938783418598925e-15,4.3370013289189086e-15
13.8,1.9561221668282896e-15,4.363620806983151e-15
13.9,1.973397772288356e-15,4.389961621447825e-15
14.0,1.9906104070828067e-15,4.416026979473009e-15
14.1,2.007760251811904e-15,4.441820069117575e-15
14.200000000000001,2.024847494973721e-15,4.467344058052075e-15
14.3,2.0418723323986382e-15,4.492602092378123e-15
14.4,2.0588349667153274e-15,4.5175972955478935e-15
14.5,2.0757356068465345e-15,4.542332767377766e-15
14.6,2.0925744675330734e-15,4.566811583150479e-15
14.700000000000001,2.1093517688845052e-15,4.591036792800439e-15
14.8,2.1260677359550852e-15,4.615011420177137e-15
14.9,2.1427225983436056e-15,4.638738462381933e-15
15.0,2.15931658981586e-15,4.662220889173697e-15
15.1,2.175849947948508e-15,4.6854616424390695e-15
15.200000000000001,2.1923229137931824e-15,4.70846363572332e-15
15.3,2.208735731559757e-15,4.731229753818047e-15
15.4,2.2250886483177307e-15,4.753762852402123e-15
15.5,2.241381913714757e-15,4.776065757732532e-15
15.6,2.2576157797113883e-15,4.798141266381907e-15
15.700000000000001,2.2737905003311513e-15,4.81999214501978e-15
15.8,2.2899063314251333e-15,4.841621130234697e-15
15.9,2.305963530450287e-15,4.863030928394541e-15
16.0,2.3219623562607014e-15,4.8842242155425355e-15
16.1,2.3379030689111477e-15,4.90520363732655e-15
16.200000000000003,2.3537859294722208e-15,4.925971808959483e-15
16.3,2.3696111998564475e-15,4.946531315208581e-15
16.400000000000002,2.3853791426547614e-15,4.966884710411718e-15
16.500000000000004,2.4010900209827816e-15,4.987034518518763e-15
16.6,2.4167440983363546e-15,5.006983233156249e-15
16.700000000000003,2.4323416384558538e-15,5.026733317713686e-15
16.8,2.447882905198749e-15,5.046287205449941e-15
16.900000000000002,2.463368162420011e-15,5.0656472996182e-15
17.000000000000004,2.4787976738598854e-15,5.084815973608134e-15
17.1,2.4941717030386663e-15,5.103795571103925e-15
17.200000000000003,2.5094905131580607e-15,5.12258840625695e-15
17.3,2.524754367008776e-15,5.14119676387193e-15
17.400000000000002,2.5399635268840098e-15,5.159622899605467e-15
17.500000000000004,2.555118254498481e-15,5.177869040175925e-15
17.6,2.5702188109127168e-15,5.195937383583675e-15
17.700000000000003,2.585265456462306e-15,5.213830099340854e-15
17.8,2.600258450691809e-15,5.231549328709677e-15
17.900000000000002,2.6151980522931093e-15,5.249097184948589e-15
18.000000000000004,2.6300845190479126e-15,5.266475753565452e-15
18.1,2.644918107774195e-15,5.2836870925770605e-15
18.200000000000003,2.659699074276357e-15,5.300733232774342e-15
18.3,2.674427673298881e-15,5.317616177992578e-15
18.400000000000002,2.6891041584832953e-15,5.334337905386096e-15
18.500000000000004,2.703728782328248e-15,5.350900365706851e-15
18.6,2.7183017961525255e-15,5.3673054835863866e-15
18.700000000000003,2.7328234500608388e-15,5.383555157820724e-15
18.8,2.7472939929122254e-15,5.399651261657661e-15
18.900000000000002,2.7617136722909055e-15,5.4155956430861255e-15
19.000000000000004,2.776082734479464e-15,5.431390125127133e-15
19.1,2.7904014244342206e-15,5.447036506126019e-15
19.200000000000003,2.8046699857626525e-15,5.462536560045562e-15
19.300000000000004,2.8188886607027557e-15,5.477892036759701e-15
19.400000000000002,2.8330576901042444e-15,5.493104662347543e-15
19.500000000000004,2.8471773134114577e-15,5.508176139387362e-15
19.6,2.8612477686478866e-15,5.523108147250342e-15
19.700000000000003,2.8752692924022294e-15,5.537902342393826e-15
19.800000000000004,2.889242119815871e-15,5.552560358653821e-15
19.900000000000002,2.903166484571725e-15,5.567083807536591e-15
