T_e,k_min,k_max
0.1,1.282865050445179e-80,5.673704851310841e-79
0.2,4.842588651959332e-49,2.608924674173749e-47
0.30000000000000004,1.7650456136552895e-38,1.1243113332751913e-36
0.4,3.483740135266199e-33,2.525801704945214e-31
0.5,5.328362454545365e-30,4.274300961224211e-28
0.6,7.142947203735215e-28,6.213772053101444e-26
0.7000000000000001,2.3768247661153837e-26,2.2098069308008567e-24
0.8,3.3058925147600912e-25,3.249110333692943e-23
0.9,2.5683020639336927e-24,2.645731514509008e-22
1.0,1.3264588571640716e-23,1.42258429011597e-21
1.1,5.088748524205735e-23,5.6506012101359575e-21
1.2000000000000002,1.5615382271615782e-22,1.787184717086057e-20
1.3000000000000003,4.0346298256782934e-22,4.7414530348397375e-20
1.4000000000000001,9.105394446347687e-22,1.0952441749700838e-19
1.5000000000000002,1.8438904125288176e-21,2.263968041474502e-19
1.6,3.4189631191705465e-21,4.275017742530327e-19
1.7000000000000002,5.8952011296884934e-21,7.491572409571838e-19
1.8000000000000003,9.567111909338932e-21,1.2334531397985015e-18
1.9000000000000001,1.475286312370816e-20,1.9267166400172528e-18
2.0,2.1781919374466282e-20,2.8777338657172922e-18
2.1,3.0982977106742836e-20,4.1359255605566666e-18
2.2,4.2673100096187034e-20,5.749632369252312e-18
2.3000000000000003,5.714860200414357e-20,7.764616112516993e-18
2.4000000000000004,7.467792066553176e-20,1.0222837058511864e-17
2.5000000000000004,9.549650147425766e-20,1.3161529096065897e-17
2.6,1.1980355390337131e-19,1.6612566601652375e-17
2.7,1.4776045482185805e-19,2.0602098186862253e-17
2.8000000000000003,1.7949053027476241e-19,2.515041187320487e-17
2.9000000000000004,2.1507993955453186e-19,3.027199169024476e-17
3.0000000000000004,2.5457939964732856e-19,3.597572543682274e-17
3.1,2.980065151396272e-19,4.226522586532928e-17
3.2,3.4534851166317185e-19,4.913923166300198e-17
3.3000000000000003,3.965652053704112e-19,5.659205944992839e-17
3.4000000000000004,4.51592073895781e-19,6.461408300119752e-17
3.5000000000000004,5.103433241407407e-19,7.319222065535509e-17
3.6,5.727148782542779e-19,8.231041617731767e-17
3.7,6.385872211640671e-19,9.195010209805459e-17
3.8000000000000003,7.078280710937767e-19,1.0209063772789948e-16
3.9000000000000004,7.802948490218378e-19,1.1270971665497544e-16
4.0,8.558369344308507e-19,1.2378374064187374e-16
4.1,9.342977034246565e-19,1.35288158482816e-16
4.2,1.0155163517966988e-18,1.4719776964468592e-16
4.3,1.0993295103259125e-18,1.5948699345171123e-16
4.3999999999999995,1.1855726628142258e-18,1.7213010524360338e-16
4.5,1.2740813794710335e-18,1.851014413925703e-16
4.6,1.3646923794535632e-18,1.983755753507683e-16
4.7,1.457244436901341e-18,2.119274670544688e-16
4.8,1.5515791448313101e-18,2.257325880660569e-16
4.9,1.647541550926499e-18,2.3976702481577183e-16
5.0,1.7449806786649655e-18,2.5400756223258617e-16
5.1,1.843749946482771e-18,2.6843174994431765e-16
5.2,1.9437074968103785e-18,2.8301795309383747e-16
5.3,2.044716445916015e-18,2.977453896710445e-16
5.4,2.146645064568901e-18,3.125941561066188e-16
5.5,2.2493668986265616e-18,3.2754524271903274e-16
5.6,2.3527608377725406e-18,3.425805404549288e-16
5.7,2.456711139796328e-18,3.576828402175865e-16
5.8,2.5611074170241737e-18,3.7283582594066597e-16
5.9,2.6658445907820513e-18,3.880240624359055e-16
6.0,2.7708228191021553e-18,4.032329789245487e-16
6.1,2.8759474022718945e-18,4.1844884905319365e-16
6.2,2.9811286702676617e-18,4.336587680953982e-16
6.3,3.0862818556126055e-18,4.488506279504182e-16
6.4,3.191326954744925e-18,4.640130904694757e-16
