,labels,densities_n,densities_s
0,14,4.720368470968849e-07,3.6397100881892506e-09
1,13,9.179157883547845e-07,9.751746930099704e-09
2,12,7.385394475314331e-07,8.146676142842625e-09
3,11,8.969617657777675e-07,1.0201929716187438e-08
4,10,6.620341328124122e-07,8.688484173414291e-09
5,9,6.104249609100677e-06,6.385940562723109e-08
6,8,1.1792668056309936e-06,1.4924929705926804e-08
7,7,3.2276247686073314e-06,3.40729690074281e-08
8,6,4.880361346022986e-06,5.2468149575530355e-08
9,5,5.534960076154623e-06,5.3174877070189294e-08
