obs_wl_vac(nm),ritz_wl_vac(nm),unc_ritz_wl,Aki(s^-1),Acc,Ei(eV),Ek(eV),conf_i,term_i,J_i,conf_k,term_k,J_k,g_i,g_k,Type,tp_ref,line_ref,
"80.2859",,,,,,,,,,,,,1,1,,,"L2131",
"80.6471",,,,,,,,,,,,,1,1,,,"L2131",
"80.6869",,,,,,,,,,,,,1,1,,,"L2131",
"80.7218",,,,,,,,,,,,,1,1,,,"L2131",
"80.7653",,,,,,,,,,,,,1,1,,,"L2131",
"80.9927",,,,,,,,,,,,,1,1,,,"L2131",
"81.6232",,,,,,,,,,,,,1,1,,,"L2131",
"81.6464",,,,,,,,,,,,,1,1,,,"L2131",
"82.0124",,,,,,,,,,,,,1,1,,,"L2131",
"82.5346",,,,,,,,,,,,,1,1,,,"L2131",
"82.6365",,,,,,,,,,,,,1,1,,,"L2131",
"83.4392",,,,,,,,,,,,,1,1,,,"L2131",
"83.5002",,,,,,,,,,,,,1,1,,,"L2131",
"84.2805",,,,,,,,,,,,,1,1,,,"L2131",
"86.6800","86.6800","0.0010","3.13e+08",C+,"0.00000000","14.3036684","3s2.3p6","1S","0","3s2.3p5.(2P*<1/2>).3d","2[3/2]*","1",1,3,,"T1355,T1618n","L2131",
"86.9754","86.9754","0.0010","3.50e+07",C,"0.00000000","14.2550856","3s2.3p6","1S","0","3s2.3p5.(2P*<1/2>).5s","2[1/2]*","1",1,3,,"T1355,T1618n,T1372","L2131",
"87.6058","87.6058","0.0010","2.70e+08",C+,"0.00000000","14.1525151","3s2.3p6","1S","0","3s2.3p5.(2P*<3/2>).3d","2[3/2]*","1",1,3,,"T1355,T1618n","L2131",
"87.9947","87.9947","0.0010","7.7e+07",C,"0.00000000","14.0899685","3s2.3p6","1S","0","3s2.3p5.(2P*<3/2>).5s","2[3/2]*","1",1,3,,"T1355,T1618n,T1372","L2131",
"89.4310","89.43102","0.00004",,,"0.00000000","13.8636686","3s2.3p6","1S","0","3s2.3p5.(2P*<3/2>).3d","2[1/2]*","1",1,3,,,"L2131",
"104.8220","104.8220","0.0010","5.32e+08",AA,"0.00000000","11.82807116","3s2.3p6","1S","0","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1",1,3,,"T7574","L2131",
"106.6660","106.6660","0.0010","1.320e+08",A+,"0.00000000","11.62359272","3s2.3p6","1S","0","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1",1,3,,"T7574","L2131",
"320.129",,,,,,,,,,,,,1,1,,,"L2131",
"332.030",,,,,,,,,,,,,1,1,,,"L3512",
"337.444",,,,,,,,,,,,,1,1,,,"L3512",
"339.470",,,,,,,,,,,,,1,1,,,"L3512",
,"340.7158","0.0010","3.9e+05",D,"11.82807116","15.4670046","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).7p","2[1/2]","0",3,1,,"T1086n",,
"346.206","346.2070","0.0010","6.7e+04",D,"11.62359272","15.2048089","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<1/2>).6p","2[3/2]","2",3,5,,"T1086n","L3512",
"355.5321","355.5321","0.0010","2.7e+05",D,"11.54835442","15.0356402","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).6p","2[3/2]","2",5,5,,"T1086n","L2634",
,"356.4304","0.0010","1.2e+05",D,"11.72316039","15.2016576","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<1/2>).6p","2[3/2]","1",1,3,,"T1086n",,
,"356.8675","0.0010","1.1e+05",D,"11.54835442","15.0225909","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).6p","2[5/2]","3",5,7,,"T1086n",,
,"357.3315","0.0010","5.1e+05",D,"11.82807116","15.2977958","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).7p","2[1/2]","0",3,1,,"T1086n",,
"360.7551","360.7550","0.0010","7.6e+05",D,"11.62359272","15.0603901","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[1/2]","0",3,1,,"T1086n","L2634",
,"363.3718","0.0010","6.6e+04",D,"11.62359272","15.0356402","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[3/2]","2",3,5,,"T1086n",,
,"363.5496","0.0010","1.3e+05",D,"11.62359272","15.0339719","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[3/2]","1",3,3,,"T1086n",,
,"364.4155","0.0010","2.4e+04",D,"11.62359272","15.0258688","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[5/2]","2",3,5,,"T1086n",,
,"365.0872","0.0010","8.0e+05",D,"11.82807116","15.2240875","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).6p","2[1/2]","0",3,1,,"T1086n",,
,"366.0572","0.0010","4.4e+04",D,"11.62359272","15.0106102","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[1/2]","1",3,3,,"T1086n",,
,"367.1715","0.0010","3.1e+04",D,"11.82807116","15.2048089","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).6p","2[3/2]","2",3,5,,"T1086n",,
,"367.6282","0.0010","4.9e+04",D,"11.82807116","15.2006146","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).6p","2[1/2]","1",3,3,,"T1086n",,
"377.1440","377.1440","0.0010","7.0e+04",D,"11.72316039","15.0106102","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<3/2>).6p","2[1/2]","1",1,3,,"T1086n","L2634",
"383.5767","383.5766","0.0010","7.5e+05",D,"11.82807116","15.0603901","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[1/2]","0",3,1,,"T1086n","L2634",
,"389.5764","0.0010","5.7e+04",D,"11.82807116","15.0106102","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).6p","2[1/2]","1",3,3,,"T1086n",,
"394.8622","394.8622","0.0010","5.6e+04",C+,"11.54835442","14.68829030","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<1/2>).5p","2[3/2]","2",5,5,,"T5223","L2634",
"395.0097","395.0096","0.0010","4.6e+05",B,"11.54835442","14.68711824","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<1/2>).5p","2[1/2]","1",5,3,,"T5223","L2634",
"404.5561","404.5561","0.0010","3.3e+05",B,"11.62359272","14.68829030","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[3/2]","2",3,5,,"T5223","L2634",
,"404.7108","0.0010","4.1e+04",B,"11.62359272","14.68711824","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[1/2]","1",3,3,,"T5223",,
,"405.5671","0.0010","2.7e+04",C+,"11.62359272","14.68065033","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[3/2]","1",3,3,,"T5223",,
"415.9762","415.9763","0.0010","1.40e+06",B,"11.54835442","14.52891349","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).5p","2[3/2]","2",5,5,,"T5223","L2634",
"416.5354","416.5353","0.0010","2.9e+05",B,"11.54835442","14.52491330","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",5,3,,"T5223","L2634",
"418.3063","418.3062","0.0010","5.6e+05",B,"11.72316039","14.68711824","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<1/2>).5p","2[1/2]","1",1,3,,"T5223","L2634",
"419.1894","419.1894","0.0010","2.80e+05",B,"11.54835442","14.50606764","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).5p","2[5/2]","2",5,5,,"T5223","L2634",
"419.2210","419.2210","0.0010","5.4e+05",C+,"11.72316039","14.68065033","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<1/2>).5p","2[3/2]","1",1,3,,"T5223","L2634",
"419.9500","419.9500","0.0010","2.57e+06",B,"11.62359272","14.57594878","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[1/2]","0",3,1,,"T5223","L2634",
"420.1858","420.1858","0.0010","9.7e+05",B+,"11.54835442","14.49905364","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).5p","2[5/2]","3",5,7,,"T5223","L2634",
"425.2382","425.2382","0.0010","1.11e+05",C+,"11.54835442","14.46399577","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",5,3,,"T5223","L2634",
"426.0561","426.0561","0.0010","3.98e+06",B+,"11.82807116","14.73811536","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[1/2]","0",3,1,,"T5223","L2634",
"426.7487","426.7487","0.0010","3.1e+05",C+,"11.62359272","14.52891349","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[3/2]","2",3,5,,"T5223","L2634",
"427.3371","427.3371","0.0010","8.0e+05",B,"11.62359272","14.52491330","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",3,3,,"T5223","L2634",
"430.1311","430.1311","0.0010","3.77e+05",B+,"11.62359272","14.50606764","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[5/2]","2",3,5,,"T5223","L2634",
"433.4779","433.4780","0.0010","5.7e+05",B+,"11.82807116","14.68829030","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[3/2]","2",3,5,,"T5223","L2634",
"433.6557","433.6557","0.0010","3.9e+05",C+,"11.82807116","14.68711824","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[1/2]","1",3,3,,"T5223","L2634",
"434.6390","434.6389","0.0010","3.0e+05",B,"11.82807116","14.68065033","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<1/2>).5p","2[3/2]","1",3,3,,"T5223","L2634",
,"436.5021","0.0010","1.20e+04",B,"11.62359272","14.46399577","3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",3,3,,"T5223",,
,"442.5237","0.0010","7.3e+03",C+,"11.72316039","14.52491330","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",1,3,,"T5223",,
"451.1998","451.1999","0.0010","1.18e+06",B+,"11.82807116","14.57594878","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1","3s2.3p5.(2P*<3/2>).5p","2[1/2]","0",3,1,,"T5223","L2634",
"452.3591","452.3592","0.0010","9.0e+04",B,"11.72316039","14.46399577","3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0","3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",1,3,,"T5223","L2634",
