Configuration,Term,J,g,Prefix,Level (eV),Suffix,Uncertainty (eV),Lande,Reference
"3s2.3p6","1S","0",1,,"0,00000000",,,,"L2131"
"3s2.3p5.(2P*<3/2>).4s","2[3/2]*","2",5,,"11,54835442",,,"1,506",
"3s2.3p5.(2P*<3/2>).4s","2[3/2]*","1",3,,"11,62359272",,,"1,404",
"3s2.3p5.(2P*<1/2>).4s","2[1/2]*","0",1,,"11,72316039",,,,
"3s2.3p5.(2P*<1/2>).4s","2[1/2]*","1",3,,"11,82807116",,,"1,102",
"3s2.3p5.(2P*<3/2>).4p","2[1/2]","1",3,,"12,90701530",,,"1,985",
"3s2.3p5.(2P*<3/2>).4p","2[1/2]","0",1,,"13,27303810",,,,
"3s2.3p5.(2P*<3/2>).4p","2[5/2]","3",7,,"13,07571571",,,"1,338",
"3s2.3p5.(2P*<3/2>).4p","2[5/2]","2",5,,"13,09487256",,,"1,112",
"3s2.3p5.(2P*<3/2>).4p","2[3/2]","1",3,,"13,15314387",,,"0,838",
"3s2.3p5.(2P*<3/2>).4p","2[3/2]","2",5,,"13,17177770",,,"1,305",
"3s2.3p5.(2P*<1/2>).4p","2[3/2]","1",3,,"13,28263902",,,"0,819",
"3s2.3p5.(2P*<1/2>).4p","2[3/2]","2",5,,"13,30222747",,,"1,260",
"3s2.3p5.(2P*<1/2>).4p","2[1/2]","1",3,,"13,32785705",,,"1,380",
"3s2.3p5.(2P*<1/2>).4p","2[1/2]","0",1,,"13,47988682",,,,
"3s2.3p5.(2P*<3/2>).3d","2[1/2]*","0",1,,"13,8450385",,,,
"3s2.3p5.(2P*<3/2>).3d","2[1/2]*","1",3,,"13,8636686",,,,
"3s2.3p5.(2P*<3/2>).3d","2[3/2]*","2",5,,"13,9034546",,,,
"3s2.3p5.(2P*<3/2>).3d","2[3/2]*","1",3,,"14,1525151",,,,
"3s2.3p5.(2P*<3/2>).3d","2[7/2]*","4",9,,"13,9792373",,,,
"3s2.3p5.(2P*<3/2>).3d","2[7/2]*","3",7,,"14,0127381",,,,
"3s2.3p5.(2P*<3/2>).3d","2[5/2]*","2",5,,"14,0630272",,,,
"3s2.3p5.(2P*<3/2>).3d","2[5/2]*","3",7,,"14,0990559",,,,
"3s2.3p5.(2P*<3/2>).5s","2[3/2]*","2",5,,"14,0682977",,,,
"3s2.3p5.(2P*<3/2>).5s","2[3/2]*","1",3,,"14,0899685",,,,
"3s2.3p5.(2P*<1/2>).3d","2[5/2]*","2",5,,"14,2136715",,,,
"3s2.3p5.(2P*<1/2>).3d","2[5/2]*","3",7,,"14,2361061",,,,
"3s2.3p5.(2P*<1/2>).3d","2[3/2]*","2",5,,"14,2340226",,,,
"3s2.3p5.(2P*<1/2>).3d","2[3/2]*","1",3,,"14,3036684",,,,
"3s2.3p5.(2P*<1/2>).5s","2[1/2]*","0",1,,"14,2410277",,,,
"3s2.3p5.(2P*<1/2>).5s","2[1/2]*","1",3,,"14,2550856",,,,
"3s2.3p5.(2P*<3/2>).5p","2[1/2]","1",3,,"14,46399577",,,"1,90",
"3s2.3p5.(2P*<3/2>).5p","2[1/2]","0",1,,"14,57594878",,,,
"3s2.3p5.(2P*<3/2>).5p","2[5/2]","3",7,,"14,49905364",,,,
"3s2.3p5.(2P*<3/2>).5p","2[5/2]","2",5,,"14,50606764",,,"1,09",
"3s2.3p5.(2P*<3/2>).5p","2[3/2]","1",3,,"14,52491330",,,"1,01",
"3s2.3p5.(2P*<3/2>).5p","2[3/2]","2",5,,"14,52891349",,,"1,42",
"3s2.3p5.(2P*<1/2>).5p","2[3/2]","1",3,,"14,68065033",,,"0,61",
"3s2.3p5.(2P*<1/2>).5p","2[3/2]","2",5,,"14,68829030",,,"1,18",
"3s2.3p5.(2P*<1/2>).5p","2[1/2]","1",3,,"14,68711824",,,"1,45",
"3s2.3p5.(2P*<1/2>).5p","2[1/2]","0",1,,"14,73811536",,,,
"3s2.3p5.(2P*<3/2>).4d","2[1/2]*","0",1,,"14,6936397",,,,
"3s2.3p5.(2P*<3/2>).4d","2[1/2]*","1",3,,"14,71089810",,,"1,467",
"3s2.3p5.(2P*<3/2>).4d","2[3/2]*","2",5,,"14,74254085",,,"1,437",
"3s2.3p5.(2P*<3/2>).4d","2[3/2]*","1",3,,"14,859230",,,"0,768",
"3s2.3p5.(2P*<3/2>).4d","2[7/2]*","4",9,,"14,7570516",,,"1,255",
"3s2.3p5.(2P*<3/2>).4d","2[7/2]*","3",7,,"14,780512",,,"1,077",
"3s2.3p5.(2P*<3/2>).4d","2[5/2]*","2",5,,"14,809272",,,"0,908",
"3s2.3p5.(2P*<3/2>).4d","2[5/2]*","3",7,,"14,824298",,,,
