f_es,T_es,chisquared
1e-10,0.11,47915.5594021323
1.2618568830660183e-10,0.11,47912.57983460111
1.592282793341094e-10,0.11,47929.28849711631
2.0092330025650458e-10,0.11,47953.96398115554
2.5353644939701164e-10,0.11,47980.64415074017
3.1992671377973845e-10,0.11,48006.21898151488
4.03701725859655e-10,0.11,48029.08327561956
5.094138014816385e-10,0.11,48048.37185785191
6.428073117284319e-10,0.11,48063.61328500961
8.111308307896856e-10,0.11,48074.68534289482
1.0235310218990269e-09,0.11,48081.50253002465
1.2915496650148826e-09,0.11,48084.08736458207
1.6297508346206469e-09,0.11,29241.3822808485
2.0565123083486515e-09,0.11,29182.02891180832
2.595024211399732e-09,0.11,29410.34888406466
3.2745491628777316e-09,0.11,29798.0239539983
4.132012400115335e-09,0.11,30268.369292442643
5.214008287999674e-09,0.11,30775.29672612231
6.579332246575682e-09,0.11,31291.041901132794
8.302175681319736e-09,0.11,31798.96304429281
1.0476157527896662e-08,0.11,21647.174617620047
1.3219411484660288e-08,0.11,21750.151859607744
1.6681005372000592e-08,0.11,22082.959484432995
2.104904144512022e-08,0.11,22552.07944649791
2.656087782946684e-08,0.11,23096.202428130826
3.351602650938841e-08,0.11,17654.560350631666
4.229242874389499e-08,0.11,17619.69427344458
5.336699231206302e-08,0.11,17806.731354216678
6.734150657750828e-08,0.11,18120.108465216428
8.497534359086438e-08,0.11,15716.375586962778
1.0722672220103232e-07,0.11,15082.494230408478
1.3530477745798075e-07,0.11,15101.687796211761
1.7073526474706888e-07,0.11,15237.40767527428
2.1544346900318867e-07,0.11,13444.182397074297
2.71858824273294e-07,0.11,13227.689780818033
3.4304692863149193e-07,0.11,13189.47534869193
4.3287612810830616e-07,0.11,12150.118724254447
5.462277217684337e-07,0.11,11910.55789417644
6.892612104349695e-07,0.11,11526.073792633333
8.697490026177835e-07,0.11,11034.716539178202
1.0974987654930568e-06,0.11,10857.18551073739
1.3848863713938717e-06,0.11,10305.107594997804
1.747528400007683e-06,0.11,10090.848108436288
2.2051307399030456e-06,0.11,9753.097291638505
2.782559402207126e-06,0.11,9548.608941813067
3.5111917342151275e-06,0.11,9304.280412078704
4.430621457583877e-06,0.11,9110.564048968921
5.590810182512223e-06,0.11,8945.610119666879
7.0548023107186455e-06,0.11,8749.615517909935
8.902150854450392e-06,0.11,8571.902539971486
1.1233240329780266e-05,0.11,8408.136718405663
1.4174741629268048e-05,0.11,8254.663952812274
1.7886495290574353e-05,0.11,8116.672914797578
2.2570197196339216e-05,0.11,8026.829450828764
2.848035868435799e-05,0.11,8000.661981081956
3.5938136638046256e-05,0.11,7996.892622446102
4.534878508128582e-05,0.11,7994.313014437544
5.72236765935022e-05,0.11,7959.905299258411
7.220809018385456e-05,0.11,7901.42053699015
9.111627561154887e-05,0.11,7842.350541548539
0.00011497569953977356,0.11,7779.364674990294
0.000145082877849594,0.11,7715.1697117363565
0.0001830738280295366,0.11,7646.918603103095
0.0002310129700083158,0.11,7583.061944090575
0.0002915053062825176,0.11,7525.070496215277
0.0003678379771828634,0.11,7472.516788625118
0.0004641588833612782,0.11,7425.373605418529
0.0005857020818056661,0.11,7383.599532177155
0.0007390722033525775,0.11,7343.5570876307365
0.0009326033468832199,0.11,7303.024701883199
0.0011768119524349992,0.11,7266.1987470368995
0.0014849682622544635,0.11,7232.85136754006
0.001873817422860383,0.11,7202.974126715842
0.002364489412645407,0.11,7176.955880608089
0.0029836472402833404,0.11,7154.586934014739
0.0037649358067924636,0.11,7136.749012691987
0.004750810162102793,0.11,7123.076253498888
0.005994842503189409,0.11,7112.939822378676
0.007564633275546291,0.11,7106.351602569119
0.009545484566618327,0.11,7103.512272359538
0.012045035402587835,0.11,7104.377468007354
0.01519911082952933,0.11,7109.170222069248
0.019179102616724848,0.11,7118.035447725139
0.024201282647943835,0.11,7131.0504032553545
0.030538555088334123,0.11,7148.306973329992
0.038535285937105354,0.11,7169.986001352425
0.04862601580065353,0.11,7194.694265442238
0.06135907273413163,0.11,7222.579001432798
0.07742636826811278,0.11,7255.242126967206
0.09770099572992247,0.11,7292.827723891008
0.12328467394420634,0.11,7335.424965757546
0.15556761439304723,0.11,7383.082284001718
0.19630406500402683,0.11,7435.887745549752
0.2477076355991714,0.11,7493.8724338540505
0.31257158496882353,0.11,7557.033028000055
0.39442060594376477,0.11,7630.778310844543
0.49770235643321137,0.11,7719.46653033407
0.6280291441834247,0.11,7808.8639694301055
0.7924828983539186,0.11,7898.471065433351
1.0,0.11,7987.781748534233
1e-10,0.11592396191016582,47915.521849859295
1.2618568830660183e-10,0.11592396191016582,47912.564567604575
1.592282793341094e-10,0.11592396191016582,47929.279398221726
